net,mu,lam,bwd,family,alloc,T,seconds
NN6,16,8,T,FM,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 10]",0.0020281018749199334,72.19107604026794
NN6,16,64,R,FM,"[1000, 256, 445, 167, 445, 167, 445, 10]",0.0043627788779858085,70.78249073028564
NN6,16,64,T,FM,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 10]",0.0019111200699551138,71.52911400794983
NN6,32,8,R,FM,"[1000, 72, 160, 72, 160, 72, 160, 5]",0.020698390310266053,71.72633671760559
NN6,32,8,T,FM,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 10]",0.004103583375041582,72.1631715297699
NN6,32,64,R,FM,"[1000, 256, 445, 256, 445, 256, 445, 10]",0.009139721391233391,70.04910254478455
NN6,32,64,T,FM,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 10]",0.003890655687723821,71.56848692893982
NN1,8,8,R,RRM,"[1000, 56, 10]",0.0002962024114985529,5.010382890701294
NN1,8,8,T,RRM,"[1000, 500, 10]",0.00011562721806387305,5.040440559387207
NN1,8,64,R,RRM,"[1000, 125, 10]",0.000170089698903085,4.921425819396973
NN1,8,64,T,RRM,"[1000, 500, 10]",0.00010965838381317365,4.986586332321167
NN1,32,8,R,RRM,"[1000, 48, 5]",0.0010388201444705778,5.030277729034424
NN1,32,8,T,RRM,"[1000, 500, 10]",0.0003486101424336209,5.042768716812134
NN1,32,64,R,RRM,"[1000, 125, 10]",0.0005752690524176198,4.9253990650177
NN1,32,64,T,RRM,"[1000, 500, 10]",0.0003341001317123333,4.999731540679932
NN2,8,8,R,RRM,"[750, 72, 80, 56, 5]",0.0009020506805007731,21.338937997817993
NN2,8,8,T,RRM,"[750, 784, 1000, 500, 10]",0.0002517177434467215,21.92234182357788
NN2,8,64,R,RRM,"[1000, 157, 250, 125, 10]",0.00044329070539948664,21.105220079421997
NN2,8,64,T,RRM,"[750, 784, 1000, 500, 10]",0.00023463833164292575,21.519040822982788
NN2,32,8,R,RRM,"[1000, 56, 72, 48, 5]",0.0032951456584259203,21.450153350830078
NN2,32,8,T,RRM,"[750, 784, 1000, 500, 10]",0.000789303848113927,21.915931940078735
NN2,32,64,R,RRM,"[1000, 112, 250, 125, 10]",0.0016393015144641533,21.09466791152954
NN2,32,64,T,RRM,"[750, 784, 1000, 500, 10]",0.0007464844363101313,21.77536964416504
NN3,8,8,R,RRM,"[1000, 80, 72, 80, 56, 5]",0.0015734568761875023,33.20273542404175
NN3,8,8,T,RRM,"[1000, 750, 784, 1000, 500, 10]",0.000367884099085436,33.77557849884033
NN3,8,64,R,RRM,"[1000, 250, 157, 250, 125, 10]",0.0007054303725559126,32.24697017669678
NN3,8,64,T,RRM,"[1000, 750, 784, 1000, 500, 10]",0.00034301117214682316,32.907501220703125
NN3,32,8,R,RRM,"[1000, 120, 56, 80, 48, 5]",0.005998454226298467,33.06283760070801
NN3,32,8,T,RRM,"[1000, 750, 784, 1000, 500, 10]",0.00126842608814963,33.61060070991516
NN3,32,64,R,RRM,"[1000, 250, 157, 250, 125, 10]",0.0026426026461673453,32.398608922958374
NN3,32,64,T,RRM,"[1000, 750, 784, 1000, 500, 10]",0.001202982572975723,33.18479585647583
