tag,net,C,c,k,B,mux,P_lane_max,mu,bwd,F,P_lane_dbm,IL_window,acl,T,comp,comm,E_laser,E_tune,E_dyn,E_fab,E_leak,E_comp,E_total,max_chain,segments,relays,commF,commB,fabric_bound,T_max,T_bf,u_bf,T_ideal,E_ideal,acl_ideal,IL_ideal,P_ideal_dbm,secs
rate,NN2,64,16,2,20000000000.0,WDM,8.0,1,R,6,-0.06790787744019866,14.716642187600083,"[51, 49, 63, 32, 1]",9.204353524511497e-05,8.011199203187251e-05,1.1686543213242466e-05,1.0557462267576584e-05,2.0705181696000004e-05,4.021019648e-05,8.409472000000001e-05,2.7922326851958073e-06,0.00029263773999999997,0.0004509975331287724,6.0,3451.0,2807.0,9.45036312503585e-07,1.074150690073888e-05,0.0,9.222471171570321e-05,9.219235877452673e-05,63,8.459177053923263e-05,0.00044947257135837714,"[64, 49, 63, 32, 1]",33.81662946696271,19.032079401922427,0.4033477306365967
rate,NN2,64,16,1,40000000000.0,WDM,8.0,1,R,6,4.447542057519518,14.716642187600083,"[51, 49, 63, 32, 1]",9.191412348040909e-05,8.011199203187251e-05,1.1557131448536583e-05,1.4930506323048993e-05,1.0352590848000002e-05,4.021019648e-05,8.409472000000001e-05,2.7883068499016897e-06,0.00029263773999999997,0.0004450140605009507,6.0,3451.0,2807.0,8.803304301506438e-07,1.067680101838594e-05,0.0,9.209529995099733e-05,9.206294700982085e-05,63,8.459177053923263e-05,0.00042204513645472763,"[64, 49, 63, 32, 1]",33.81662946696271,23.547529336882143,0.353238582611084
rate,NN2,64,16,4,10000000000.0,SDM,0.0,1,T,6,-5.638574516291353,13.661425483708648,"[64, 49, 63, 32, 1]",8.526208021975823e-05,8.315288994769223e-05,1.8641902720659933e-06,7.327650636558854e-07,4.416925695999993e-07,1.0023924479999984e-05,9.358912e-06,2.5865104655465856e-06,0.00036662558,0.00038976938457880244,6.0,3646.0,2976.0,1.0550363125035849e-06,8.091539595624086e-07,0.0,8.526208021975823e-05,8.526208021975823e-05,64,8.37244331609347e-05,0.00038823898568278345,"[47, 49, 63, 32, 1]",32.76141276307128,13.461412763071277,0.3568143844604492
rate,NN2,64,16,2,20000000000.0,SDM,0.0,1,T,6,-1.1231245813316342,13.661425483708648,"[64, 49, 63, 32, 1]",8.499031551387586e-05,8.315288994769223e-05,1.5924255661836405e-06,1.036286291055346e-06,2.2084628479999966e-07,1.0023924479999984e-05,9.358912e-06,2.5782662114289378e-06,0.00036662558,0.00038984381526728425,6.0,3646.0,2976.0,9.191539595624086e-07,6.732716066212321e-07,0.0,8.499031551387586e-05,8.499031551387586e-05,64,8.37179625726994e-05,0.00038663693587181206,"[47, 49, 63, 32, 1]",32.76141276307128,17.976862698030995,0.38762545585632324
rate,NN2,64,16,1,40000000000.0,SDM,0.0,1,T,3,-0.9829746030117281,9.286125527068837,"[64, 49, 63, 32, 1]",8.604590374916999e-05,8.315288994769223e-05,2.6480138014777582e-06,9.84514792608339e-07,2.0315035839999693e-07,1.2895720960000062e-05,9.358912e-06,2.6102885361348207e-06,0.00036662558,0.0003926781666471432,11.0,6703.0,6033.0,1.5779774889741733e-06,1.0700363125035852e-06,0.0,8.604590374916999e-05,8.604590374916999e-05,64,8.371472727858176e-05,0.0003858359109663264,"[47, 49, 63, 32, 1]",32.76141276307128,22.49231263299071,0.41584324836730957
rate,NN2,64,16,4,10000000000.0,WDM,0.0,1,T,6,-4.5833578123999175,14.716642187600083,"[64, 49, 63, 32, 1]",8.526208021975823e-05,8.315288994769223e-05,1.8641902720659933e-06,9.343001649117246e-07,4.499462220799995e-06,1.0023924479999984e-05,9.358912e-06,2.5865104655465856e-06,0.00036662558,0.0003940286893312583,6.0,3646.0,2976.0,1.0550363125035849e-06,8.091539595624086e-07,0.0,8.526208021975823e-05,8.526208021975823e-05,64,8.37244331609347e-05,0.0003920049708859835,"[47, 49, 63, 32, 1]",33.81662946696271,14.516629466962709,0.36136913299560547
rate,NN2,64,16,2,20000000000.0,WDM,0.0,1,T,6,-0.06790787744019866,14.716642187600083,"[64, 49, 63, 32, 1]",8.499031551387586e-05,8.315288994769223e-05,1.5924255661836405e-06,1.3212999645455926e-06,2.2497311103999976e-06,1.0023924479999984e-05,9.358912e-06,2.5782662114289378e-06,0.00036662558,0.00039215771376637453,6.0,3646.0,2976.0,9.191539595624086e-07,6.732716066212321e-07,0.0,8.499031551387586e-05,8.499031551387586e-05,64,8.37179625726994e-05,0.00038851992847341207,"[47, 49, 63, 32, 1]",33.81662946696271,19.032079401922427,0.3597221374511719
rate,NN2,64,16,1,40000000000.0,WDM,0.0,1,T,2,-2.143670489677106,8.125429640403459,"[64, 49, 63, 32, 1]",8.723413904328762e-05,8.315288994769223e-05,3.8362490955954046e-06,1.0972950837085334e-06,1.3695755391999818e-06,1.5763953920000402e-05,9.358912e-06,2.646334842017173e-06,0.00036662558,0.00039686165138492607,16.0,9758.0,9088.0,2.301506900738879e-06,1.534742194856526e-06,0.0,8.723413904328762e-05,8.723413904328762e-05,64,8.371472727858176e-05,0.00038677740726712637,"[47, 49, 63, 32, 1]",33.81662946696271,23.547529336882143,0.4332582950592041
rate,NN2,64,16,4,10000000000.0,SDM,8.0,1,T,6,-5.638574516291353,13.661425483708648,"[64, 49, 63, 32, 1]",8.526208021975823e-05,8.315288994769223e-05,1.8641902720659933e-06,7.327650636558854e-07,4.416925695999993e-07,1.0023924479999984e-05,9.358912e-06,2.5865104655465856e-06,0.00036662558,0.00038976938457880244,6.0,3646.0,2976.0,1.0550363125035849e-06,8.091539595624086e-07,0.0,8.526208021975823e-05,8.526208021975823e-05,64,8.37244331609347e-05,0.00038823898568278345,"[47, 49, 63, 32, 1]",32.76141276307128,13.461412763071277,0.3792109489440918
rate,NN2,64,16,2,20000000000.0,SDM,8.0,1,T,6,-1.1231245813316342,13.661425483708648,"[64, 49, 63, 32, 1]",8.499031551387586e-05,8.315288994769223e-05,1.5924255661836405e-06,1.036286291055346e-06,2.2084628479999966e-07,1.0023924479999984e-05,9.358912e-06,2.5782662114289378e-06,0.00036662558,0.00038984381526728425,6.0,3646.0,2976.0,9.191539595624086e-07,6.732716066212321e-07,0.0,8.499031551387586e-05,8.499031551387586e-05,64,8.37179625726994e-05,0.00038663693587181206,"[47, 49, 63, 32, 1]",32.76141276307128,17.976862698030995,0.36942338943481445
