net,mu,bwd,k,D_cfg,T,T_max,acl
NN2,8,R,4,1e-06,0.0002538907874129144,0.00025425314035409084,"[51, 49, 63, 32, 1]"
NN2,8,T,1,1e-09,0.00024195716410319206,0.00024195716410319206,"[64, 49, 63, 32, 1]"
NN2,8,T,1,1e-08,0.00024202916410319202,0.00024202916410319205,"[64, 49, 63, 32, 1]"
NN2,8,T,1,1e-07,0.00024274916410319203,0.00024274916410319206,"[64, 49, 63, 32, 1]"
NN2,8,T,1,1e-06,0.0002499491641031921,0.00024994916410319204,"[64, 49, 63, 32, 1]"
NN2,8,T,4,1e-09,0.00023467775233848614,0.00023467775233848616,"[64, 49, 63, 32, 1]"
NN2,8,T,4,1e-08,0.00023474975233848616,0.00023474975233848616,"[64, 49, 63, 32, 1]"
NN2,8,T,4,1e-07,0.00023546975233848617,0.00023546975233848617,"[64, 49, 63, 32, 1]"
NN2,8,T,4,1e-06,0.00024266975233848612,0.00024266975233848618,"[64, 49, 63, 32, 1]"
NN2,16,R,1,1e-09,0.0005795398539839081,0.0005827036417211716,"[51, 49, 63, 18, 1]"
NN2,16,R,1,1e-08,0.0005796118539839081,0.0005827756417211715,"[51, 49, 63, 18, 1]"
NN2,16,R,1,1e-07,0.0005803318539839081,0.0005834956417211716,"[51, 49, 63, 18, 1]"
NN2,16,R,1,1e-06,0.0005875318539839082,0.0005906956417211716,"[51, 49, 63, 18, 1]"
NN2,16,R,4,1e-09,0.0004440777593682303,0.0004448024652505833,"[51, 49, 63, 32, 1]"
NN2,16,R,4,1e-08,0.0004441497593682303,0.0004448744652505833,"[51, 49, 63, 32, 1]"
NN2,16,R,4,1e-07,0.0004448697593682303,0.0004455944652505833,"[51, 49, 63, 32, 1]"
NN2,16,R,4,1e-06,0.00045206975936823034,0.0004527944652505833,"[51, 49, 63, 32, 1]"
NN2,16,T,1,1e-09,0.0004329975766347385,0.0004329975766347385,"[64, 49, 63, 32, 1]"
NN2,16,T,1,1e-08,0.0004330695766347385,0.0004330695766347385,"[64, 49, 63, 32, 1]"
NN2,16,T,1,1e-07,0.0004337895766347384,0.0004337895766347385,"[64, 49, 63, 32, 1]"
NN2,16,T,1,1e-06,0.0004409895766347384,0.0004409895766347385,"[64, 49, 63, 32, 1]"
NN2,16,T,4,1e-09,0.0004184387531053268,0.0004184387531053268,"[64, 49, 63, 32, 1]"
NN2,16,T,4,1e-08,0.0004185107531053267,0.0004185107531053267,"[64, 49, 63, 32, 1]"
NN2,16,T,4,1e-07,0.00041923075310532667,0.0004192307531053268,"[64, 49, 63, 32, 1]"
NN2,16,T,4,1e-06,0.0004264307531053267,0.00042643075310532674,"[64, 49, 63, 32, 1]"
NN2,32,R,1,1e-09,0.0010739194225195467,0.0010797170695783702,"[51, 49, 63, 32, 1]"
NN2,32,R,1,1e-08,0.0010739914225195467,0.0010797890695783702,"[51, 49, 63, 32, 1]"
NN2,32,R,1,1e-07,0.0010747114225195468,0.00108050906957837,"[51, 49, 63, 32, 1]"
NN2,32,R,1,1e-06,0.0010819114225195468,0.0010877090695783703,"[51, 49, 63, 32, 1]"
NN2,32,R,4,1e-09,0.0008024653048724878,0.0008039147166371936,"[51, 49, 63, 32, 1]"
NN2,32,R,4,1e-08,0.0008025373048724878,0.0008039867166371936,"[51, 49, 63, 32, 1]"
NN2,32,R,4,1e-07,0.0008032573048724876,0.0008047067166371937,"[51, 49, 63, 32, 1]"
NN2,32,R,4,1e-06,0.0008104573048724877,0.0008119067166371936,"[51, 49, 63, 32, 1]"
NN2,32,T,1,1e-09,0.0007790773864174564,0.0007790773864174565,"[64, 49, 63, 32, 1]"
NN2,32,T,1,1e-08,0.0007791493864174565,0.0007791493864174565,"[64, 49, 63, 32, 1]"
NN2,32,T,1,1e-07,0.0007798693864174564,0.0007798693864174564,"[64, 49, 63, 32, 1]"
NN2,32,T,1,1e-06,0.0007870693864174564,0.0007870693864174566,"[64, 49, 63, 32, 1]"
NN2,32,T,4,1e-09,0.0007499597393586329,0.0007499597393586329,"[64, 49, 63, 32, 1]"
NN2,32,T,4,1e-08,0.000750031739358633,0.000750031739358633,"[64, 49, 63, 32, 1]"
NN2,32,T,4,1e-07,0.0007507517393586329,0.0007507517393586329,"[64, 49, 63, 32, 1]"
NN2,32,T,4,1e-06,0.0007579517393586329,0.000757951739358633,"[64, 49, 63, 32, 1]"
NN3,1,R,1,1e-09,0.0001263390624766409,0.0001265720036531115,"[64, 51, 49, 63, 32, 1]"
