m,net,mu,lam,bwd,alloc,T,T_max,T_bestfix,u_bestfix
256,NN6,32,64,T,"[256, 256, 256, 256, 256, 256, 256, 10]",0.0068997090224154475,0.0068997090224154475,0.0068997090224154475,254
1000,NN2,8,8,R,"[750, 72, 78, 64, 5]",0.0008992385782775363,0.004245916567532996,0.0010387923837981321,88
1000,NN2,8,8,T,"[750, 784, 1000, 500, 10]",0.00025171438952645704,0.0002521958460200219,0.0002521958460200219,1000
1000,NN2,8,64,R,"[750, 157, 250, 125, 10]",0.00044293858043503373,0.0007611687234322748,0.0004787498949555427,250
1000,NN2,8,64,T,"[750, 784, 1000, 500, 10]",0.0002346386052522105,0.00023469976662518548,0.00023469976662518548,1000
1000,NN2,32,8,R,"[750, 56, 72, 48, 5]",0.003284764240153048,0.016762173543199865,0.0038882544575477044,72
1000,NN2,32,8,T,"[750, 784, 1000, 500, 10]",0.0007893004941936627,0.0007897819506872274,0.0007897819506872274,1000
1000,NN2,32,64,R,"[750, 128, 250, 125, 10]",0.001638221239983618,0.002849930404981504,0.0018364554293610544,250
1000,NN2,32,64,T,"[750, 784, 1000, 500, 10]",0.0007464847099194162,0.0007465458712923911,0.0007465458712923911,1000
1000,NN6,8,8,R,"[1000, 80, 144, 80, 144, 80, 144, 5]",0.00514948671599498,0.02533007268602001,0.005817683870268941,96
1000,NN6,8,8,T,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 10]",0.0010848177175671924,0.0010848177175671924,0.0010848177175671924,1000
1000,NN6,8,64,R,"[1000, 256, 445, 250, 445, 250, 445, 10]",0.0022406304965634062,0.00409285793987872,0.0024319715866257426,250
1000,NN6,8,64,T,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 10]",0.0010158088537788428,0.0010158088537788428,0.0010158088537788428,1000
1000,NN6,32,8,R,"[1000, 72, 160, 72, 160, 72, 160, 5]",0.020698390310266053,0.10112910050727758,0.02323222825115727,112
1000,NN6,32,8,T,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 10]",0.004103583375041582,0.004103583375041582,0.004103583375041582,1000
1000,NN6,32,64,R,"[1000, 256, 445, 256, 445, 256, 445, 10]",0.00913972139123339,0.016243349290547986,0.009762670638352386,250
1000,NN6,32,64,T,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 10]",0.0038906556877238213,0.0038906556877238213,0.0038906556877238213,1000
