net,mu,lam,bwd,param,value,alloc,T,comm_share,T_max,T_200,T_bestfix,u_bestfix,T_RI
NN2,1,8,T,B_lam,40000000000.0,"[750, 784, 500, 500, 10]",9.466920022932594e-05,0.10078961798999043,9.591729154835284e-05,0.00012249496943926919,9.591729154835284e-05,1000,9.724153209051718e-05
NN2,1,8,T,ser2,2,"[750, 784, 500, 500, 10]",9.322920022932592e-05,0.08690059022927482,9.406699743070575e-05,0.0001213620282627986,9.406699743070575e-05,1000,9.544947326698775e-05
NN2,1,64,R,D_cfg,1e-09,"[750, 196, 250, 125, 10]",0.00011727240787462009,0.16210448369918468,0.00015045554798412747,0.0001305238392867124,0.00012176632891670716,250,0.00012078235581421758
NN2,1,64,R,D_cfg,1e-08,"[750, 196, 250, 125, 10]",0.00011756940787462008,0.16422114799851273,0.00015127454798412746,0.0001307848392867124,0.00012202732891670716,250,0.00012117555969898397
NN2,1,64,R,D_cfg,1e-07,"[750, 196, 250, 125, 10]",0.00012053940787462008,0.18481410787953656,0.00015946454798412748,0.0001333948392867124,0.00012463732891670716,250,0.00012513998902256352
NN2,1,64,R,D_cfg,1e-06,"[250, 157, 167, 125, 10]",0.00014500941386389862,0.24971583285586976,0.00024136454798412752,0.0001594948392867124,0.00015073732891670715,250,0.00015476007975736696
NN2,1,64,R,C,1500000000.0,"[750, 392, 500, 250, 10]",8.094429747415409e-05,0.4343558706987819,9.585155749994176e-05,0.00012173347104278846,8.856541737171518e-05,500,8.878242372688048e-05
NN2,1,64,R,C,6000000000.0,"[750, 164, 250, 125, 10]",3.922564276457686e-05,0.42987549919269646,7.445405749994177e-05,4.7458971042788454e-05,4.35094834232572e-05,250,4.244417470644707e-05
NN2,1,64,R,C,24000000000.0,"[750, 125, 125, 63, 10]",1.9301245337402815e-05,0.5265201887108019,6.910468249994176e-05,2.889034604278845e-05,2.1455936988149552e-05,125,2.1457435140509936e-05
NN2,1,64,R,B_lam,10000000000.0,"[750, 167, 167, 125, 10]",0.0001656186399063629,0.3688943401483549,0.0003484786656311863,0.0001970954275220065,0.00018001274606998648,188,0.00017530111914080719
NN2,1,64,R,B_lam,40000000000.0,"[750, 196, 250, 125, 10]",0.00011756940787462008,0.16422114799851273,0.00015127454798412746,0.0001307848392867124,0.00012202732891670716,250,0.00012117555969898397
NN2,1,64,R,ser2,2,"[750, 392, 500, 500, 10]",9.497755381536386e-05,0.08706980552067499,9.74916068076569e-05,0.00011270013340435946,9.696195649011253e-05,500,0.00010003350087545455
NN2,1,64,T,D_cfg,1e-09,"[750, 784, 1000, 500, 10]",8.417705078054138e-05,0.009256214438784686,8.421515332998696e-05,0.00011932201589346571,8.421515332998696e-05,1000,8.421515332998696e-05
NN2,1,64,T,D_cfg,1e-08,"[750, 784, 1000, 500, 10]",8.496005078054138e-05,0.0183870044626544,8.503415332998694e-05,0.00011958301589346573,8.503415332998694e-05,1000,8.503415332998694e-05
NN2,1,64,T,D_cfg,1e-07,"[750, 784, 500, 500, 10]",9.277483175445844e-05,0.08242864909638253,9.322415332998696e-05,0.00012219301589346573,9.322415332998696e-05,1000,9.430342719740395e-05
NN2,1,64,T,D_cfg,1e-06,"[500, 296, 250, 125, 10]",0.00013043654128612044,0.23976543316119536,0.00017512415332998697,0.00014829301589346571,0.00013345149308696962,250,0.00013648248434728743
NN2,1,64,T,C,1500000000.0,"[750, 784, 1000, 500, 10]",3.5555160832849156e-05,0.04393626118563047,3.562926338229472e-05,0.0001308945102584747,3.562926338229472e-05,1000,3.562926338229472e-05
NN2,1,64,T,C,6000000000.0,"[750, 784, 1000, 500, 10]",1.0244160832849158e-05,0.15249280622770958,1.0318263382294725e-05,3.333901025847472e-05,1.0318263382294725e-05,1000,1.0318263382294725e-05
NN2,1,64,T,C,24000000000.0,"[750, 784, 1000, 500, 10]",3.916410832849159e-06,0.3988756286103669,3.990513382294725e-06,8.950135258474723e-06,3.990513382294725e-06,1000,4.311805048961392e-06
NN2,1,64,T,B_lam,10000000000.0,"[750, 784, 1000, 500, 10]",8.580446254524727e-05,0.028047172911152298,8.59173886241046e-05,0.00012025272177581865,8.59173886241046e-05,1000,8.59173886241046e-05
NN2,1,64,T,B_lam,40000000000.0,"[750, 784, 1000, 500, 10]",8.496005078054138e-05,0.0183870044626544,8.503415332998694e-05,0.00011958301589346573,8.503415332998694e-05,1000,8.503415332998694e-05
NN2,1,64,T,ser2,2,"[750, 784, 1000, 500, 10]",8.472975666289434e-05,0.015718996107838036,8.479327097704579e-05,0.00011940036883464219,8.479327097704579e-05,1000,8.479327097704579e-05
NN2,8,8,R,D_cfg,1e-09,"[750, 72, 78, 64, 5]",0.0008978975782775365,0.43429025829166923,0.004239625567532992,0.0014121498959591952,0.0010380813837981323,88,0.0009314568771204891
NN2,8,8,R,D_cfg,1e-08,"[750, 72, 78, 64, 5]",0.0008992385782775363,0.4351338795307446,0.004245916567532996,0.0014137428959591955,0.0010387923837981321,88,0.000933031877120489
NN2,8,8,R,D_cfg,1e-06,"[256, 72, 64, 56, 5]",0.001000151099856776,0.4367428912870062,0.004937926567532993,0.0015889728959591956,0.0011042653565498126,63,0.001040557966198843
NN2,8,8,R,D_cfg,1e-07,"[750, 72, 64, 56, 5]",0.0009124620951688734,0.40643609248738394,0.004308826567532996,0.0014296728959591956,0.0010459023837981322,88,0.0009461280305720133
NN2,8,8,R,C,1500000000.0,"[750, 112, 143, 100, 10]",0.0014059733990228781,0.45603143426123355,0.004191227578071251,0.001688498444196435,0.0016118176864386427,167,0.0014454580524184161
NN2,8,8,R,C,6000000000.0,"[750, 56, 72, 56, 5]",0.0006928327660056027,0.4753726760130443,0.004057553578071252,0.0012322934441964348,0.0007883365748407466,72,0.000708390629364936
NN2,8,8,R,C,24000000000.0,"[750, 32, 40, 24, 5]",0.00034839566964002983,0.5129974390650731,0.004024135078071252,0.001118242194196435,0.00040324052260952057,40,0.00036549043144188824
NN2,8,8,R,B_lam,10000000000.0,"[750, 32, 40, 32, 5]",0.0016421739842129458,0.46344005300859625,0.01624824950870946,0.004642229954782725,0.0019324316038036651,40,0.00168928176191143
NN2,8,8,R,B_lam,40000000000.0,"[750, 72, 78, 64, 5]",0.0008992385782775363,0.4351338795307446,0.004245916567532996,0.0014137428959591955,0.0010387923837981321,88,0.000933031877120489
NN2,8,8,R,ser2,2,"[750, 131, 167, 125, 10]",0.0004712144658610667,0.3011718533394531,0.0009725530381212291,0.0005332464253709603,0.0005298125279656128,167,0.000643761288885195
NN2,8,8,T,D_cfg,1e-09,"[750, 784, 1000, 500, 10]",0.00024570238952645703,0.05545591565352454,0.00024590484602002196,0.0003627911606236443,0.00024590484602002196,1000,0.00024590484602002196
NN2,8,8,T,D_cfg,1e-08,"[750, 784, 1000, 500, 10]",0.00025171438952645704,0.07801560739690873,0.0002521958460200219,0.0003643841606236443,0.0002521958460200219,1000,0.0002521958460200219
NN2,8,8,T,D_cfg,1e-06,"[256, 200, 168, 127, 10]",0.0005064710901155462,0.3320031288501343,0.0009442058460200229,0.0005396141606236443,0.0005396141606236443,200,0.0005624480207315304
NN2,8,8,T,D_cfg,1e-07,"[750, 392, 336, 500, 10]",0.0003028299923795869,0.17073726180107765,0.0003151058460200219,0.0003803141606236443,0.0003081932928243197,504,0.00031430779126295696
NN2,8,8,T,C,1500000000.0,"[750, 784, 1000, 500, 10]",0.0002128456509894486,0.09226240187741551,0.0002133271074830135,0.00075104260105918,0.0002133271074830135,1000,0.0002133271074830135
NN2,8,8,T,C,6000000000.0,"[750, 784, 1000, 500, 10]",6.940965098944863e-05,0.2829239264210371,6.989110748301352e-05,0.00019820360105918012,6.989110748301352e-05,1000,6.989110748301352e-05
NN2,8,8,T,C,24000000000.0,"[750, 784, 504, 500, 10]",3.3378752566973885e-05,0.5286297782270172,3.4032107483013526e-05,5.9993851059180147e-05,3.4032107483013526e-05,1000,3.52336725222278e-05
NN2,8,8,T,B_lam,10000000000.0,"[750, 784, 1000, 500, 10]",0.00028129791893822175,0.17497882880542473,0.00028177937543178664,0.00039396769003540897,0.00028177937543178664,1000,0.00028177937543178664
NN2,8,8,T,B_lam,40000000000.0,"[750, 784, 1000, 500, 10]",0.00025171438952645704,0.07801560739690873,0.0002521958460200219,0.0003643841606236443,0.0002521958460200219,1000,0.0002521958460200219
NN2,8,8,T,ser2,2,"[750, 784, 1000, 500, 10]",0.00024364615423233942,0.047484499526713186,0.00024412761072590433,0.00035631592532952666,0.00024412761072590433,1000,0.00024412761072590433
NN2,8,64,R,D_cfg,1e-09,"[750, 157, 250, 125, 10]",0.0004426595804350338,0.29763200925192307,0.0007603497234322748,0.0005121514130016274,0.0004784888949555427,250,0.0004693927536785946
NN2,8,64,R,D_cfg,1e-08,"[750, 157, 250, 125, 10]",0.00044293858043503373,0.2980744197306541,0.0007611687234322748,0.0005124124130016274,0.0004787498949555427,250,0.0004697184850717589
NN2,8,64,R,D_cfg,1e-07,"[750, 157, 250, 125, 10]",0.0004457285804350338,0.3024680629810826,0.0007693587234322748,0.0005150224130016274,0.0004813598949555426,250,0.0004730308818472829
NN2,8,64,R,D_cfg,1e-06,"[750, 157, 250, 125, 10]",0.0004736285804350338,0.3435575196708637,0.0008512587234322747,0.0005411224130016274,0.0005074598949555427,250,0.0004944763140973746
NN2,8,64,R,C,1500000000.0,"[750, 392, 500, 250, 10]",0.0005619258268859188,0.49175023997491324,0.00070647973397053,0.0007871679612388668,0.0006238334369795583,500,0.0006243427325518418
NN2,8,64,R,C,6000000000.0,"[750, 157, 250, 125, 10]",0.00027190466033949235,0.4855696852516068,0.00057280573397053,0.0003309629612388669,0.00030729123832521797,250,0.0002914985453475494
NN2,8,64,R,C,24000000000.0,"[750, 64, 125, 63, 10]",0.00013619160189099418,0.4389815602495498,0.0005393872339705299,0.00021691171123886687,0.00015249630953716916,125,0.00015722520522374196
NN2,8,64,R,B_lam,10000000000.0,"[750, 64, 125, 63, 10]",0.0007273084818646221,0.3276945334731606,0.0023360063704910986,0.0010421594718251568,0.0008137980780711096,125,0.0008401372676574495
NN2,8,64,R,B_lam,40000000000.0,"[750, 157, 250, 125, 10]",0.00044293858043503373,0.2980744197306541,0.0007611687234322748,0.0005124124130016274,0.0004787498949555427,250,0.0004697184850717589
NN2,8,64,R,ser2,2,"[750, 392, 334, 250, 10]",0.00030171402920949037,0.15595930750693202,0.00033166754696168667,0.0003679359424133921,0.0003140369619935639,500,0.00035142672036587655
NN2,8,64,T,D_cfg,1e-09,"[750, 784, 1000, 500, 10]",0.0002338556052522105,0.007606688380565492,0.00023388076662518548,0.0003540773835484291,0.00023388076662518548,1000,0.00023388076662518548
NN2,8,64,T,D_cfg,1e-08,"[750, 784, 1000, 500, 10]",0.0002346386052522105,0.010918351276629764,0.00023469976662518548,0.0003543383835484291,0.00023469976662518548,1000,0.00023469976662518548
NN2,8,64,T,D_cfg,1e-07,"[750, 784, 1000, 500, 10]",0.00024246860525221052,0.04285860721800543,0.0002428897666251855,0.00035694838354842907,0.0002428897666251855,1000,0.0002428897666251855
NN2,8,64,T,D_cfg,1e-06,"[750, 400, 500, 250, 10]",0.0003057511429168378,0.171635417579803,0.00032478976662518545,0.00038304838354842906,0.000310863306411331,500,0.0003192922414114759
NN2,8,64,T,C,1500000000.0,"[750, 784, 1000, 500, 10]",0.00019576986671520207,0.013086113599540823,0.00019583102808817704,0.0007409968239839648,0.00019583102808817704,1000,0.00019583102808817704
