method,family,reuse,alloc,T,comp,comm,commF,commB,D_init,E_laser,E_tune,E_dyn,E_leak,E_net,E_comp,E_total,flops,slotsF,slotsB,maxroute,maxfan,wire_bytes,sram_peak,Z,Rrun,Hmax,cores_used,local_frac,relaxed_real,net,mu,lam,bwd,sweeps,evals,u
MAX,RRM,-1,"[1000, 500, 10]",4.7223758245523394e-05,4.2565193723066915e-05,4.413564522456477e-06,3.228186667026119e-06,1.1853778554303581e-06,2.45e-07,7.540135415325248e-08,1.991781461308135e-05,2.3994745600000002e-05,2.238406140837809e-05,6.63720229756127e-05,0.00010774569999999999,0.0001741177229756127,10774570.0,188.0,65.0,500.0,999.0,16080.0,40752.0,4020,2,3.573228508074092e-05,1000,0.0009900990099009901,,NN1,1,8,T,,,
F200,RRM,-1,"[200, 200, 10]",5.654898967759075e-05,5.4831374645252766e-05,1.4726150323379814e-06,9.867915019730083e-07,4.858235303649731e-07,2.45e-07,2.5126858962525607e-08,1.8889751040643946e-06,7.3713856e-06,2.6804221107178014e-05,3.608970867020493e-05,0.00010774569999999999,0.00014383540867020492,10774570.0,50.0,27.0,399.0,200.0,16080.0,93152.0,1620,2,2.6772794977622442e-05,410,0.0,,NN1,1,8,T,,,
BESTFIX,RRM,-1,"[1000, 500, 10]",4.7223758245523394e-05,4.2565193723066915e-05,4.413564522456477e-06,3.228186667026119e-06,1.1853778554303581e-06,2.45e-07,7.540135415325248e-08,1.991781461308135e-05,2.3994745600000002e-05,2.238406140837809e-05,6.63720229756127e-05,0.00010774569999999999,0.0001741177229756127,10774570.0,188.0,65.0,500.0,999.0,16080.0,40752.0,4020,2,3.573228508074092e-05,1000,0.0009900990099009901,,NN1,1,8,T,,,1000
MAX,ORRM,-1,"[1000, 500, 10]",4.7218303712040774e-05,4.2565193723066915e-05,4.408109988973854e-06,3.222767437967331e-06,1.1853425510065224e-06,2.45e-07,7.530795365216321e-08,1.991681461034699e-05,2.3994272000000002e-05,2.2381475959507326e-05,6.636787052350648e-05,0.00010774569999999999,0.00017411357052350647,10774570.0,188.0,65.0,500.0,999.0,16080.0,44760.0,3980,6,4.697330371204077e-05,1000,0.00100990099009901,,NN1,1,8,T,,,
F200,ORRM,-1,"[200, 200, 10]",5.654898967759075e-05,5.4831374645252766e-05,1.4726150323379814e-06,9.867915019730083e-07,4.858235303649731e-07,2.45e-07,2.5126858962525607e-08,1.8889751040643946e-06,7.3713856e-06,2.6804221107178014e-05,3.608970867020493e-05,0.00010774569999999999,0.00014383540867020492,10774570.0,50.0,27.0,399.0,200.0,16080.0,93152.0,1620,2,2.6772794977622442e-05,410,0.0,,NN1,1,8,T,,,
BESTFIX,ORRM,-1,"[1000, 500, 10]",4.7218303712040774e-05,4.2565193723066915e-05,4.408109988973854e-06,3.222767437967331e-06,1.1853425510065224e-06,2.45e-07,7.530795365216321e-08,1.991681461034699e-05,2.3994272000000002e-05,2.2381475959507326e-05,6.636787052350648e-05,0.00010774569999999999,0.00017411357052350647,10774570.0,188.0,65.0,500.0,999.0,16080.0,44760.0,3980,6,4.697330371204077e-05,1000,0.00100990099009901,,NN1,1,8,T,,,1000
RI,FM,-1,"[1000, 80, 10]",8.622029264994308e-05,6.576245508503401e-05,2.0212837564909063e-05,2.2656184133381573e-06,1.7947219151570907e-05,2.45e-07,3.372075164036352e-07,0.00014546844806571162,8.384352e-06,4.086841871607302e-05,0.00019505842629818828,8.83807e-05,0.0002834391262981883,8838070.0,135.0,12.0,500.0,999.0,690800.0,144792.0,3980,6,8.597529264994307e-05,1000,0.0017647058823529412,"[1027.638068582514, 79.50713562557843, 16.926546682163327]",NN1,1,8,R,,,
CS,FM,-1,"[1000, 84, 10]",7.709611905177664e-05,5.4992229376675434e-05,2.1858889675101202e-05,2.2789515675855055e-06,1.9579938107515697e-05,2.45e-07,3.512975520006391e-07,0.00015274158407270344,8.77661952e-06,3.654356043054212e-05,0.0001984130615752462,8.842069999999999e-05,0.0002868337615752462,8842070.0,136.0,13.0,500.0,999.0,722848.0,128760.0,3980,6,7.685111905177663e-05,1000,0.0016179775280898876,,NN1,1,8,R,2,3015,
CS,RRM,-1,"[1000, 84, 10]",7.711636047044266e-05,5.4992229376675434e-05,2.1879131093767225e-05,2.2795517427907135e-06,1.959957935097651e-05,2.45e-07,3.5152376241332535e-07,0.00015275991835046607,8.78249472e-06,3.655315486298982e-05,0.00019844709169586922,8.842069999999999e-05,0.00028686779169586924,8842070.0,136.0,13.0,500.0,999.0,723328.0,124752.0,4020,2,6.174091293753445e-05,1000,0.0009438202247191011,,NN1,1,8,R,2,3015,
CS,ORRM,-1,"[1000, 84, 10]",7.710232485683316e-05,5.4992229376675434e-05,2.1865095480157727e-05,2.2786338277709834e-06,1.9586461652386744e-05,2.45e-07,3.51367262633191e-07,0.00015274456620292841,8.777011199999999e-06,3.654650198213891e-05,0.00019841944664770054,8.842069999999999e-05,0.0002868401466477005,8842070.0,136.0,13.0,500.0,999.0,722880.0,128760.0,3980,6,7.685732485683315e-05,1000,0.0015730337078651685,,NN1,1,8,R,,,
CS_Er,ORRM,-1,"[1000, 84, 10]",7.710232485683316e-05,5.4992229376675434e-05,2.1865095480157727e-05,2.2786338277709834e-06,1.9586461652386744e-05,2.45e-07,3.51367262633191e-07,0.00015274456620292841,8.777011199999999e-06,3.654650198213891e-05,0.00019841944664770054,8.842069999999999e-05,0.0002868401466477005,8842070.0,136.0,13.0,500.0,999.0,722880.0,128760.0,3980,6,7.685732485683315e-05,1000,0.0015730337078651685,,NN1,1,8,R,,,
CSE,FM,-1,"[125, 39, 5]",0.00010047395119443619,9.07971200680272e-05,9.431831126408988e-06,5.502590489294235e-07,8.881572077479564e-06,2.45e-07,1.5336665902067902e-07,8.954312969972616e-06,4.10260416e-06,4.762465286616275e-05,6.0834936655156045e-05,8.79457e-05,0.00014878063665515605,8794570.0,21.0,6.0,124.0,124.0,340984.0,289008.0,490,6,0.00010022895119443618,125,0.00908433734939759,,NN1,1,8,R,,,
BESTFIXE,FM,-1,"[63, 63, 10]",0.00010384787599924612,8.867402289965988e-05,1.4928853099586253e-05,4.860370564759172e-07,1.4442816043110337e-05,2.45e-07,2.4278211019358195e-07,7.718227194942202e-06,6.628646399999999e-06,4.922389322364266e-05,6.381354892877844e-05,8.821069999999999e-05,0.00015202424892877842,8821070.0,16.0,10.0,62.0,62.0,547360.0,275560.0,232,6,0.00010360287599924613,63,0.01588235294117647,,NN1,1,8,R,,,63
MAX,FM,-1,"[1000, 500, 10]",0.00015369147268355456,4.57171444343036e-05,0.00010772932824925097,3.22492100782131e-06,0.00010450440724142965,2.45e-07,1.8281205959607865e-06,0.0009098403181700754,4.94755008e-05,7.284975805200486e-05,0.001033993697618041,9.258069999999999e-05,0.001126574397618041,9258070.0,188.0,65.0,500.0,999.0,4047920.0,48600.0,3980,6,0.00015344647268355458,1000,0.00100990099009901,,NN1,1,8,R,,,
F200,FM,-1,"[200, 200, 10]",9.909801745887762e-05,5.568787540810007e-05,4.316514205077755e-05,9.514870781372359e-07,4.2213654972640316e-05,2.45e-07,7.318900201603136e-07,7.400593300313942e-05,2.00485824e-05,4.697246027550799e-05,0.00014175886569880774,8.95807e-05,0.00023133956569880773,8958070.0,50.0,27.0,199.0,199.0,1643760.0,105816.0,780,6,9.885301745887762e-05,200,0.005024390243902439,,NN1,1,8,R,,,
BESTFIX,FM,-1,"[167, 167, 10]",9.242673747216808e-05,5.570603568175499e-05,3.647570179041309e-05,8.243410680641409e-07,3.5651360722348945e-05,2.45e-07,6.132588519025246e-07,5.174552290294108e-05,1.68172224e-05,4.381027356180766e-05,0.00011298627771665126,8.92507e-05,0.00020223697771665124,8925070.0,42.0,23.0,166.0,166.0,1379760.0,112104.0,648,6,9.218173747216808e-05,167,0.005988372093023255,,NN1,1,8,R,,,167
MAX,RRM,-1,"[1000, 500, 10]",0.00015369482660381896,4.57171444343036e-05,0.00010773268216951535,3.228186667026119e-06,0.00010450449550248923,2.45e-07,1.8282141482708983e-06,0.000909850156327788,4.9476480000000005e-05,7.285134781021018e-05,0.001034006198286269,9.258069999999999e-05,0.0011265868982862689,9258070.0,188.0,65.0,500.0,999.0,4048000.0,44592.0,4020,2,0.00013831217696844825,1000,0.0009900990099009901,,NN1,1,8,R,,,
F200,RRM,-1,"[200, 200, 10]",9.933490220514393e-05,5.568787540810007e-05,4.340202679704386e-05,9.867915019730083e-07,4.2415235295070855e-05,2.45e-07,7.359206530801728e-07,7.478567241641734e-05,2.0149440000000003e-05,4.708474364523822e-05,0.00014275577671473574,8.95807e-05,0.00023233647671473575,8958070.0,50.0,27.0,399.0,200.0,1652000.0,69152.0,1620,2,6.265974392578589e-05,410,0.0,,NN1,1,8,R,,,
